(726, 817) | (768, 558)
(861, 363) | (182, 49)
(216, 924) | (562, 436)
(294, 226) | (463, 495)
(123, 193) | (739, 618)
(197, 183) | (235, 718)
(302, 603) | (708, 812)
(266, 497) | (518, 246)
(88, 104) | (502, 259)
(2, 621) | (926, 805)
(241, 244) | (190, 398)
(907, 497) | (159, 87)
(521, 482) | (966, 661)
(324, 877) | (792, 153)
(282, 937) | (501, 792)
(549, 496) | (827, 484)
(612, 868) | (644, 304)
(428, 1) | (969, 837)
(476, 341) | (393, 259)
(432, 88) | (712, 120)
(713, 115) | (780, 16)
(837, 38) | (909, 950)
(24, 20) | (538, 888)
(101, 444) | (200, 301)
(751, 290) | (14, 928)
(304, 492) | (752, 729)
(123, 413) | (462, 332)
(290, 526) | (292, 33)
(361, 543) | (362, 182)
(715, 412) | (798, 404)
(624, 909) | (984, 425)
(608, 294) | (428, 315)
(69, 769) | (444, 500)
(84, 719) | (54, 551)
(123, 122) | (473, 81)
(426, 718) | (149, 214)
(716, 865) | (879, 735)
(35, 46) | (777, 50)
(229, 216) | (401, 8)
(195, 73) | (342, 475)
(84, 527) | (280, 250)
(164, 855) | (61, 353)
(910, 348) | (295, 112)
(732, 74) | (8, 222)
(777, 419) | (399, 604)
(749, 241) | (562, 355)
(662, 785) | (158, 730)
(190, 876) | (432, 256)
(250, 84) | (556, 819)
(517, 861) | (675, 481)
(648, 560) | (836, 426)
(583, 556) | (696, 398)
(364, 2) | (188, 749)
(367, 522) | (322, 427)
(79, 930) | (499, 333)
(222, 181) | (313, 688)
(422, 763) | (273, 889)
(276, 852) | (634, 825)
(42, 767) | (829, 699)
(148, 222) | (206, 901)
(44, 251) | (718, 906)
(418, 676) | (919, 862)
(703, 477) | (850, 780)
(301, 254) | (475, 757)
(961, 522) | (66, 363)
(120, 520) | (416, 600)
(823, 370) | (676, 365)
(821, 179) | (440, 560)
(100, 368) | (72, 704)
(199, 286) | (958, 647)
(203, 55) | (137, 60)
(852, 103) | (631, 429)
(825, 935) | (846, 695)
(630, 401) | (526, 428)
(788, 415) | (919, 322)
(463, 176) | (425, 24)
(643, 761) | (435, 633)
(7, 670) | (411, 290)
(248, 503) | (350, 844)
(128, 774) | (791, 964)
(888, 531) | (700, 72)
(357, 801) | (773, 494)
(679, 997) | (693, 632)
(761, 499) | (536, 254)
(210, 618) | (159, 880)
(561, 679) | (490, 107)
(194, 934) | (704, 630)
(892, 753) | (451, 175)
(851, 495) | (353, 197)
(792, 634) | (457, 801)
(622, 477) | (905, 386)
(685, 572) | (253, 517)
(890, 131) | (566, 459)
(448, 36) | (453, 139)
(35, 364) | (477, 717)
(719, 392) | (73, 357)
(172, 507) | (820, 79)
(767, 335) | (56, 864)
(207, 333) | (274, 137)
(894, 483) | (448, 505)
(896, 967) | (257, 143)
(416, 534) | (123, 110)
(501, 369) | (546, 858)
(345, 170) | (58, 405)
(836, 583) | (38, 246)
(9, 667) | (156, 251)
(338, 625) | (537, 9)
(948, 98) | (47, 419)
(280, 36) | (112, 752)
(512, 491) | (457, 275)
(11, 170) | (72, 598)
(699, 250) | (186, 25)
(158, 337) | (721, 284)
(935, 418) | (946, 52)
(413, 257) | (508, 975)
(65, 64) | (319, 323)
(701, 351) | (997, 427)
(799, 255) | (515, 365)
(460, 229) | (36, 43)
(268, 958) | (204, 646)
(113, 724) | (512, 495)
(428, 835) | (339, 441)
(417, 509) | (698, 561)
(911, 49) | (661, 685)
(656, 23) | (724, 431)
(76, 56) | (167, 153)
(874, 305) | (295, 57)
(484, 19) | (646, 930)
(189, 707) | (706, 493)
(183, 427) | (209, 2)
(734, 997) | (780, 299)
(938, 264) | (195, 703)
(416, 854) | (112, 901)
(864, 725) | (396, 894)
(334, 583) | (322, 31)
(787, 872) | (466, 357)
(979, 185) | (653, 120)
(635, 486) | (21, 758)
(25, 281) | (227, 712)
(542, 840) | (755, 433)
(205, 907) | (293, 308)
(482, 59) | (532, 173)
(843, 745) | (733, 34)
(327, 575) | (506, 442)
(661, 75) | (735, 352)
(185, 546) | (220, 871)
(70, 328) | (570, 207)
(347, 852) | (359, 211)
(381, 509) | (581, 999)
(276, 763) | (901, 604)
(79, 131) | (244, 50)
(796, 972) | (830, 648)
(186, 120) | (300, 488)
(331, 450) | (206, 342)
(901, 185) | (441, 829)
(183, 465) | (681, 728)
(775, 298) | (864, 982)
(562, 732) | (544, 651)
(91, 788) | (668, 747)
(635, 736) | (159, 937)
(935, 967) | (377, 679)
(250, 457) | (991, 154)
(291, 348) | (37, 309)
(762, 251) | (372, 454)
(484, 436) | (193, 484)
(986, 838) | (149, 62)
(520, 883) | (267, 46)
(994, 936) | (77, 870)
(160, 327) | (956, 919)
(431, 481) | (229, 571)
(307, 765) | (364, 600)
(649, 230) | (300, 590)
(971, 716) | (849, 16)
(730, 613) | (979, 267)
(435, 67) | (663, 250)
(218, 948) | (689, 238)
(992, 394) | (769, 202)
(625, 570) | (537, 61)
(49, 416) | (21, 426)
(50, 40) | (441, 597)
(212, 399) | (599, 734)
(208, 734) | (977, 215)
(33, 529) | (392, 752)
(230, 374) | (120, 205)
(546, 792) | (108, 108)
(194, 395) | (228, 669)
(628, 891) | (198, 696)
(482, 834) | (393, 954)
(190, 298) | (397, 687)
(980, 7) | (198, 386)
(733, 101) | (546, 277)
(838, 364) | (538, 569)
(557, 533) | (521, 905)
(821, 591) | (399, 795)
(303, 507) | (27, 436)
(626, 243) | (703, 617)
(667, 205) | (813, 763)
(774, 621) | (175, 646)
(271, 76) | (284, 830)
(182, 937) | (183, 657)
(602, 403) | (675, 555)
(48, 939) | (569, 768)
(553, 58) | (475, 369)
(715, 656) | (377, 192)
(699, 795) | (679, 106)
(570, 11) | (230, 300)
(355, 219) | (677, 294)
(266, 503) | (837, 765)
(123, 812) | (916, 885)
(137, 411) | (238, 62)
(203, 941) | (503, 544)
(289, 253) | (896, 761)
(619, 422) | (58, 187)
(776, 933) | (518, 173)
(110, 684) | (69, 912)
(475, 293) | (362, 530)
(687, 722) | (306, 609)
(609, 361) | (798, 113)
(260, 949) | (485, 577)
(630, 30) | (958, 879)
(160, 376) | (89, 146)
(441, 90) | (331, 401)
(356, 168) | (456, 494)
(826, 997) | (418, 548)
(266, 898) | (8, 439)
(698, 808) | (289, 792)
(935, 463) | (76, 77)
(190, 859) | (450, 281)
(467, 137) | (467, 336)
(96, 611) | (724, 874)
(713, 3) | (190, 270)
(915, 564) | (718, 356)
(547, 749) | (326, 241)
(764, 984) | (677, 890)
(595, 363) | (754, 851)
(377, 61) | (583, 688)
(987, 919) | (157, 759)
(399, 111) | (578, 367)
(111, 855) | (252, 930)
(710, 823) | (30, 426)
(936, 64) | (867, 880)
(517, 859) | (386, 656)
(637, 5) | (619, 20)
(186, 228) | (573, 450)
(585, 446) | (949, 687)
(639, 562) | (246, 816)
(789, 518) | (133, 81)
(918, 455) | (603, 813)
(277, 690) | (332, 169)
(767, 487) | (323, 28)
(548, 830) | (881, 845)
(194, 821) | (183, 318)
(729, 105) | (379, 644)
(238, 772) | (153, 843)
(208, 471) | (323, 799)
(978, 762) | (223, 600)
(49, 73) | (438, 913)
(923, 959) | (460, 359)
(68, 124) | (954, 37)
(380, 704) | (420, 593)
(368, 395) | (772, 846)
(750, 129) | (572, 359)
(848, 325) | (154, 680)
(827, 848) | (33, 188)
(381, 942) | (972, 700)
(599, 455) | (436, 892)
(700, 78) | (620, 992)
(563, 708) | (528, 496)
(370, 699) | (785, 969)
(513, 181) | (664, 846)
(495, 51) | (908, 744)
(24, 955) | (779, 929)
(830, 835) | (240, 722)
(398, 885) | (753, 507)
(44, 629) | (689, 647)
(560, 853) | (611, 224)
(402, 818) | (948, 388)
(686, 440) | (720, 942)
(549, 791) | (555, 642)
(643, 988) | (720, 387)
(451, 377) | (576, 415)
(231, 606) | (338, 681)
(75, 10) | (412, 521)
(801, 101) | (489, 758)
(809, 917) | (405, 31)
(838, 15) | (119, 816)
(657, 272) | (71, 594)
(593, 868) | (472, 749)
(168, 123) | (168, 830)
(642, 693) | (279, 987)
(721, 200) | (25, 828)
(688, 258) | (73, 316)
(819, 208) | (389, 955)
(117, 61) | (350, 965)
(342, 9) | (429, 519)
(817, 670) | (667, 619)
(509, 765) | (27, 167)
(367, 852) | (259, 618)
(211, 687) | (529, 50)
(102, 756) | (337, 566)
(875, 169) | (84, 829)
(881, 200) | (335, 877)
(203, 949) | (999, 41)
(200, 723) | (996, 51)
(715, 768) | (799, 123)
(175, 943) | (279, 193)
(227, 538) | (353, 67)
(44, 333) | (241, 130)
(545, 62) | (158, 326)
(836, 825) | (860, 595)
(394, 759) | (682, 219)
(121, 10) | (658, 107)
(658, 134) | (986, 185)
(247, 586) | (921, 878)
(959, 849) | (577, 515)
(33, 631) | (424, 622)
(131, 825) | (631, 738)
(263, 438) | (249, 97)
(777, 652) | (818, 885)
(809, 515) | (182, 226)
(925, 606) | (653, 193)
(637, 36) | (461, 9)
(344, 509) | (577, 85)
(208, 862) | (181, 345)
(648, 147) | (283, 895)
(796, 904) | (566, 778)
(183, 71) | (364, 67)
(772, 768) | (597, 636)
(950, 724) | (899, 43)
(671, 581) | (867, 949)
(898, 741) | (223, 304)
(616, 565) | (697, 175)
(775, 141) | (403, 548)
(108, 12) | (606, 444)
(258, 754) | (887, 170)
(535, 234) | (526, 436)
(410, 468) | (556, 447)
(143, 776) | (823, 354)
(993, 124) | (9, 897)
(322, 455) | (796, 135)
(263, 447) | (458, 466)
(20, 340) | (972, 684)
(415, 660) | (991, 629)
(266, 903) | (488, 12)
(223, 638) | (392, 992)
(922, 275) | (423, 98)
(518, 676) | (136, 156)
(903, 309) | (984, 903)
(541, 692) | (154, 627)
(970, 252) | (271, 474)
(276, 27) | (227, 259)
(682, 317) | (475, 419)
(33, 111) | (569, 561)
(999, 319) | (155, 211)
(560, 295) | (406, 280)
(303, 44) | (433, 134)
(700, 645) | (547, 122)
(707, 123) | (581, 529)
(573, 410) | (144, 403)
(847, 65) | (575, 805)
(457, 402) | (191, 541)
(192, 899) | (231, 261)
(320, 878) | (97, 989)
(840, 31) | (701, 647)
(789, 899) | (569, 509)
(732, 895) | (946, 81)
(974, 166) | (7, 514)
(529, 313) | (549, 682)
(827, 858) | (562, 247)
(765, 810) | (695, 475)
(499, 682) | (613, 416)
(516, 239) | (215, 277)
(323, 326) | (693, 7)
(168, 108) | (816, 972)
(253, 486) | (929, 278)
(125, 500) | (415, 790)
(82, 114) | (783, 583)
(383, 550) | (843, 225)
(975, 759) | (692, 301)
(399, 526) | (1, 185)
(37, 238) | (923, 361)
(922, 532) | (311, 38)
(611, 585) | (941, 972)
(584, 29) | (562, 291)
(161, 823) | (193, 771)
(654, 897) | (950, 740)
(921, 22) | (398, 329)
(328, 937) | (835, 687)
(702, 427) | (936, 869)
(481, 746) | (935, 367)
(322, 152) | (141, 822)
(55, 870) | (39, 14)
(734, 256) | (727, 170)
(721, 474) | (134, 470)
(552, 785) | (297, 817)
(992, 554) | (821, 69)
(252, 506) | (555, 808)
(684, 688) | (376, 369)
(407, 312) | (783, 570)
(196, 851) | (83, 176)
(730, 238) | (612, 238)
(747, 665) | (249, 577)
(810, 912) | (840, 315)
(589, 183) | (650, 951)
(17, 422) | (908, 95)
(67, 77) | (235, 956)
(208, 446) | (667, 878)
(96, 829) | (394, 327)
(885, 881) | (66, 702)
(948, 778) | (827, 664)
(589, 652) | (792, 94)
(222, 853) | (833, 445)
(713, 710) | (562, 180)
(553, 690) | (662, 174)
(90, 365) | (489, 147)
(568, 543) | (226, 69)
(677, 3) | (318, 552)
(900, 441) | (774, 725)
(526, 768) | (922, 246)
(936, 415) | (444, 800)
(353, 76) | (844, 533)
(115, 645) | (421, 592)
(263, 2) | (586, 755)
(218, 365) | (375, 612)
(378, 323) | (432, 695)
(526, 876) | (998, 172)
(62, 367) | (563, 210)
(456, 933) | (265, 70)
(944, 182) | (141, 675)
(771, 740) | (455, 604)
(133, 420) | (513, 546)
(854, 92) | (801, 556)
(205, 9) | (755, 31)
(975, 308) | (341, 322)
(734, 850) | (295, 360)
(574, 458) | (211, 10)
(831, 910) | (867, 639)
(308, 389) | (488, 234)
(883, 740) | (583, 768)
(214, 810) | (670, 563)
(332, 494) | (690, 342)
(696, 196) | (930, 565)
(820, 337) | (94, 450)
(463, 500) | (380, 720)
(876, 806) | (830, 363)
(520, 268) | (99, 650)
(201, 966) | (407, 252)
(644, 319) | (541, 337)
(754, 764) | (795, 309)
(836, 612) | (18, 31)
(406, 333) | (400, 663)
(149, 170) | (31, 373)
(954, 211) | (962, 105)
(119, 540) | (859, 539)
(472, 211) | (168, 786)
(703, 171) | (502, 232)
(875, 981) | (274, 609)
(261, 382) | (515, 748)
(349, 732) | (536, 860)
(316, 867) | (724, 368)
(764, 362) | (356, 335)
(546, 723) | (365, 758)
(883, 510) | (351, 81)
(516, 724) | (856, 278)
(160, 843) | (260, 577)
(480, 507) | (790, 440)
(423, 926) | (713, 437)
(525, 591) | (503, 441)
(574, 236) | (589, 498)
(977, 487) | (925, 274)
(819, 969) | (808, 387)
(305, 444) | (664, 525)
(514, 80) | (522, 226)
(579, 718) | (866, 858)
(390, 982) | (655, 324)
(901, 149) | (750, 886)
(822, 139) | (313, 780)
(737, 50) | (578, 237)
(945, 751) | (734, 79)
(959, 961) | (966, 129)
(68, 980) | (981, 306)
(601, 627) | (461, 289)
(534, 798) | (582, 334)
(102, 153) | (998, 882)
(624, 823) | (453, 294)
(267, 694) | (141, 17)
(551, 431) | (426, 69)
(312, 656) | (348, 120)
(875, 625) | (840, 13)
(297, 186) | (602, 270)
(57, 308) | (700, 804)
(473, 517) | (85, 426)
(528, 33) | (517, 642)
(364, 504) | (279, 555)
(816, 254) | (666, 297)
(554, 282) | (749, 626)
(656, 508) | (634, 638)
(813, 449) | (842, 151)
(328, 654) | (615, 880)
(522, 502) | (889, 398)
(44, 177) | (796, 556)
(940, 902) | (21, 189)
(89, 726) | (857, 251)
(459, 666) | (769, 671)
(913, 673) | (376, 570)
(438, 259) | (520, 865)
(231, 257) | (576, 342)
(973, 139) | (668, 552)
(322, 271) | (759, 919)
(999, 372) | (209, 730)
(125, 370) | (798, 511)
(543, 223) | (131, 387)
(393, 118) | (456, 187)
(398, 361) | (882, 196)
(750, 519) | (321, 199)
(262, 500) | (613, 378)
(784, 463) | (388, 941)
(49, 934) | (251, 274)
(865, 812) | (674, 378)
(317, 928) | (122, 964)
(407, 344) | (357, 908)
(871, 16) | (900, 616)
(442, 457) | (351, 314)
(583, 477) | (992, 500)
(548, 883) | (168, 331)
(718, 820) | (703, 156)
(212, 141) | (809, 731)
(920, 249) | (410, 440)
(931, 4) | (781, 807)
(240, 907) | (11, 303)
(353, 541) | (955, 611)
(531, 286) | (922, 685)
(505, 851) | (75, 482)
(643, 108) | (947, 291)
(508, 911) | (438, 420)
(655, 908) | (780, 567)
(555, 310) | (351, 828)
(954, 246) | (901, 774)
(210, 758) | (328, 926)
(295, 62) | (141, 898)
(144, 111) | (371, 295)
(227, 938) | (473, 213)
(733, 815) | (198, 297)
(156, 733) | (610, 908)
(300, 728) | (249, 527)
(721, 657) | (207, 365)
(280, 660) | (215, 708)
(57, 996) | (832, 60)
(56, 998) | (724, 986)
(377, 235) | (900, 213)
(943, 700) | (666, 157)
(63, 368) | (130, 399)
(939, 447) | (187, 247)
(325, 241) | (534, 405)
(592, 734) | (913, 837)
(898, 67) | (665, 912)
(697, 900) | (505, 563)
(714, 656) | (981, 47)
(183, 131) | (384, 686)
(768, 539) | (229, 392)
(356, 225) | (380, 680)
(13, 28) | (682, 340)
(708, 762) | (244, 708)
(293, 546) | (687, 618)
(67, 212) | (179, 910)
(618, 306) | (336, 748)
(446, 35) | (155, 32)
(614, 843) | (581, 432)
(511, 61) | (849, 413)
(70, 737) | (571, 522)
(771, 102) | (884, 457)
(615, 960) | (554, 472)
(661, 262) | (511, 668)
(277, 634) | (234, 53)
(377, 206) | (207, 318)
(201, 924) | (420, 866)
(136, 157) | (122, 339)
(572, 39) | (798, 193)
(508, 402) | (734, 759)
(55, 719) | (701, 800)
(36, 298) | (283, 85)
(237, 794) | (3, 577)
(690, 937) | (817, 217)
(285, 184) | (453, 370)
(736, 441) | (679, 440)
(232, 335) | (77, 605)
(734, 487) | (767, 461)
(835, 930) | (869, 887)
(163, 838) | (239, 340)
(64, 666) | (488, 7)
(658, 796) | (983, 462)
(770, 85) | (635, 299)
(595, 823) | (228, 496)
(408, 848) | (371, 373)
(301, 892) | (818, 180)
(32, 728) | (139, 936)
(974, 373) | (585, 671)
(672, 864) | (355, 246)
(669, 568) | (131, 608)
(459, 285) | (519, 11)
(379, 590) | (543, 997)
(855, 658) | (21, 68)
(295, 736) | (731, 386)
(618, 56) | (148, 127)
(506, 423) | (130, 638)
(641, 963) | (212, 133)
(443, 674) | (597, 600)
(672, 602) | (47, 968)
(769, 74) | (585, 106)
(305, 253) | (80, 569)
(625, 217) | (181, 502)
(950, 162) | (445, 204)
(816, 18) | (665, 61)
(928, 537) | (110, 268)
(933, 535) | (571, 107)
(448, 874) | (183, 753)
(907, 171) | (177, 488)
(418, 565) | (131, 559)
(441, 244) | (799, 172)
(734, 358) | (348, 776)
(987, 844) | (333, 405)
(842, 64) | (43, 491)
(731, 440) | (519, 957)
(274, 374) | (246, 196)
(240, 277) | (234, 229)
(825, 131) | (601, 286)
(819, 13) | (809, 61)
(333, 949) | (90, 516)
(436, 777) | (508, 45)
(645, 792) | (179, 749)
(835, 613) | (45, 426)
(682, 446) | (939, 344)
(495, 213) | (656, 19)
(494, 724) | (836, 34)
(109, 781) | (629, 406)
(995, 70) | (847, 330)
(182, 907) | (283, 67)
(261, 92) | (639, 671)
(539, 627) | (929, 463)
(643, 802) | (820, 804)
(394, 276) | (806, 232)
(990, 165) | (988, 553)
(433, 428) | (890, 843)
(602, 437) | (231, 340)
(778, 533) | (815, 406)
(284, 377) | (590, 398)
(187, 30) | (743, 570)
(301, 985) | (790, 974)
(551, 799) | (30, 118)
(654, 54) | (409, 793)
(253, 584) | (478, 566)
(365, 35) | (754, 332)
(959, 32) | (756, 846)
(223, 804) | (503, 988)
(393, 166) | (175, 710)
(150, 394) | (576, 927)
(906, 735) | (716, 330)
(73, 219) | (143, 286)
(124, 808) | (15, 527)
(313, 264) | (729, 591)
(285, 655) | (291, 136)
(168, 32) | (713, 660)
(165, 892) | (195, 507)
(744, 107) | (7, 4)
(605, 622) | (823, 927)
(367, 316) | (562, 612)
(705, 937) | (37, 880)
(458, 463) | (868, 710)
(454, 805) | (348, 93)
(98, 281) | (69, 355)
(440, 240) | (417, 660)
(742, 552) | (847, 240)
(600, 864) | (988, 879)
(68, 894) | (260, 146)
(705, 275) | (469, 496)
(886, 350) | (407, 476)
(710, 797) | (171, 244)
(830, 215) | (3, 369)
(79, 219) | (735, 945)
(300, 295) | (766, 607)
(156, 247) | (38, 84)
(573, 125) | (424, 110)
(952, 824) | (927, 450)
(807, 336) | (782, 486)
(30, 941) | (64, 770)
(113, 103) | (842, 152)
(772, 746) | (861, 550)
(559, 969) | (50, 986)
(708, 850) | (979, 508)
(236, 670) | (830, 742)
(389, 802) | (948, 278)
(906, 800) | (736, 207)
(398, 258) | (540, 415)
(247, 44) | (948, 601)
(167, 605) | (302, 224)
(890, 31) | (692, 449)
(419, 281) | (972, 982)
(725, 502) | (173, 411)
(79, 821) | (744, 382)
(463, 787) | (740, 623)
(764, 683) | (884, 319)
(876, 948) | (97, 546)
(476, 264) | (963, 756)
(154, 755) | (494, 758)
(674, 508) | (535, 681)
(254, 795) | (169, 580)
(308, 406) | (185, 524)
(447, 533) | (824, 99)
(48, 707) | (911, 181)
(897, 6) | (538, 789)
(113, 196) | (962, 723)
(476, 895) | (46, 567)
(375, 629) | (222, 333)
(271, 575) | (602, 303)
(462, 74) | (326, 812)
(858, 519) | (761, 376)
(199, 723) | (241, 624)
(187, 480) | (258, 442)
(136, 565) | (694, 926)
(207, 810) | (562, 684)
(875, 664) | (214, 832)
(709, 998) | (218, 882)
(371, 647) | (953, 592)
(21, 21) | (268, 485)
(518, 932) | (1, 691)
(777, 515) | (463, 23)
(796, 354) | (771, 328)
(623, 253) | (432, 106)
(117, 615) | (694, 408)
(950, 390) | (986, 97)
(929, 18) | (829, 617)
(126, 349) | (898, 995)
(382, 692) | (287, 462)
(685, 413) | (378, 130)
(906, 369) | (852, 222)
(971, 700) | (40, 995)
(977, 7) | (148, 813)
(973, 122) | (819, 932)
(953, 489) | (527, 562)
(399, 800) | (444, 274)
(766, 904) | (277, 539)
(722, 386) | (294, 572)
(277, 872) | (433, 171)
(735, 973) | (342, 881)
(831, 410) | (289, 139)
(272, 703) | (296, 411)
(929, 434) | (98, 725)
(677, 382) | (5, 671)
(469, 228) | (644, 990)
(394, 885) | (636, 694)
(806, 583) | (788, 695)
(560, 865) | (825, 357)
(355, 11) | (763, 701)
(578, 161) | (125, 749)
(954, 281) | (165, 559)
(440, 235) | (726, 483)
(852, 982) | (81, 223)
(714, 113) | (986, 921)
(973, 693) | (680, 749)
(490, 58) | (913, 419)
(617, 1) | (848, 663)
(995, 871) | (93, 135)
(805, 356) | (49, 704)
(383, 34) | (645, 636)
(481, 690) | (119, 180)
(714, 433) | (242, 61)
(571, 52) | (196, 980)
(436, 838) | (844, 459)
(498, 785) | (23, 357)
(375, 980) | (415, 525)
(887, 816) | (878, 232)
(980, 745) | (749, 938)
(361, 403) | (108, 880)
(480, 23) | (746, 358)
(838, 358) | (396, 535)
(696, 47) | (870, 970)
(886, 205) | (418, 428)
(12, 560) | (652, 39)
(600, 495) | (779, 667)
(480, 530) | (136, 670)
(20, 446) | (60, 125)
(114, 391) | (311, 997)
(330, 52) | (545, 547)
(556, 799) | (362, 762)
(845, 29) | (2, 711)
(974, 216) | (811, 354)
(140, 886) | (318, 565)
(323, 602) | (500, 783)
(613, 932) | (184, 15)
(701, 257) | (511, 869)
(86, 402) | (900, 748)
(186, 975) | (643, 513)
(802, 991) | (874, 756)
(690, 63) | (690, 8)
(379, 960) | (103, 218)
(521, 271) | (608, 105)
(705, 574) | (580, 722)
(350, 101) | (524, 723)
(719, 944) | (817, 179)
(524, 79) | (304, 342)
(676, 967) | (323, 492)
(852, 698) | (513, 351)
(752, 968) | (465, 328)
(34, 656) | (748, 981)
(334, 342) | (92, 392)
(220, 364) | (205, 517)
(41, 857) | (109, 388)
(608, 369) | (893, 951)
(751, 197) | (421, 306)
(315, 695) | (469, 615)
(46, 460) | (118, 114)
(660, 236) | (922, 834)
(888, 646) | (785, 235)
(814, 382) | (916, 881)
(978, 913) | (56, 491)
(162, 426) | (699, 460)
(396, 495) | (239, 205)
(288, 917) | (909, 622)
(928, 80) | (322, 340)
(733, 164) | (819, 733)
(632, 170) | (34, 571)
(101, 429) | (304, 374)
(891, 610) | (91, 725)
(475, 357) | (496, 395)
(30, 821) | (625, 922)
(592, 663) | (360, 22)
(158, 716) | (244, 48)
(357, 555) | (242, 444)
(686, 8) | (569, 95)
(721, 238) | (607, 910)
(236, 179) | (702, 125)
(518, 869) | (38, 969)
(480, 428) | (836, 507)
(881, 586) | (373, 435)
(610, 497) | (406, 582)
(515, 247) | (175, 393)
(287, 232) | (774, 68)
(153, 716) | (440, 691)
(941, 214) | (201, 599)
(478, 801) | (942, 983)
(768, 936) | (569, 703)
(703, 87) | (616, 493)
(234, 813) | (660, 794)
(280, 918) | (882, 576)
(134, 915) | (218, 218)
(401, 304) | (716, 490)
(10, 450) | (263, 119)
(214, 449) | (993, 396)
(296, 683) | (519, 422)
(402, 192) | (296, 482)
(104, 485) | (172, 606)
(89, 744) | (515, 670)
(257, 161) | (929, 354)
(93, 738) | (550, 2)
(492, 978) | (600, 120)
(694, 528) | (879, 724)
(357, 607) | (357, 78)
(700, 626) | (899, 686)
(667, 48) | (829, 105)
(988, 102) | (563, 939)
(317, 969) | (656, 409)
(953, 533) | (146, 427)
(835, 16) | (431, 928)
(333, 805) | (813, 57)
(278, 590) | (138, 48)
(940, 417) | (493, 243)
(966, 292) | (649, 642)
(397, 241) | (51, 74)
(401, 60) | (800, 267)
(301, 260) | (517, 615)
(119, 905) | (797, 233)
(264, 593) | (255, 93)
(647, 690) | (73, 182)
(989, 205) | (321, 764)
(113, 673) | (809, 184)
(820, 351) | (161, 263)
(834, 165) | (754, 470)
